6531
0 0 0
0 0 0
0 0 2
2 2 0
3 4 3
2 1 4
0 0 3
2 4 6
8 5 6
0 0 8
8 0 2
7 10 8
0 2 5
13 4 3
6 4 4
10 13 5
6 4 15
5 4 15
0 13 9
12 6 12
14 1 5
1 6 12
5 3 22
19 17 0
23 20 17
22 0 15
0 14 24
22 1 13
0 28 15
17 17 3
19 13 1
19 4 12
5 17 14
7 31 8
33 10 29
34 28 22
36 2 24
25 23 24
10 12 21
21 29 1
9 36 33
16 35 40
12 11 40
43 23 33
8 44 10
11 22 13
39 11 35
41 28 43
38 35 33
43 15 9
28 34 30
0 30 46
2 37 3
5 44 17
8 38 28
44 38 24
17 32 19
25 49 17
11 49 54
14 50 35
54 26 53
56 53 20
9 31 4
51 23 58
54 37 57
40 58 6
14 49 12
64 42 0
12 50 56
67 45 30
40 54 62
9 58 5
7 54 67
41 60 33
37 28 26
25 22 51
16 60 5
31 12 69
25 5 12
28 71 17
8 17 4
73 40 27
76 17 74
77 28 25
3 81 75
81 71 30
19 0 10
14 60 79
60 67 4
7 59 33
49 77 81
46 83 3
83 34 88
56 42 24
13 68 81
57 65 11
48 12 49
85 57 44
21 80 58
94 10 7
6 74 53
0 26 76
34 15 3
101 61 99
33 12 100
12 88 90
87 87 45
84 50 50
108 28 72
65 38 66
6 104 54
22 10 56
24 67 63
28 72 8
107 91 55
89 106 45
14 11 65
98 99 83
50 25 11
20 12 112
104 89 95
42 34 83
34 22 89
39 70 63
6 47 123
11 22 115
40 59 104
21 15 123
47 125 18
128 106 84
29 115 44
19 11 44
7 81 41
99 5 37
97 12 93
114 55 92
95 58 53
47 123 118
84 30 110
62 105 83
66 29 32
104 26 8
25 17 117
93 72 113
107 31 112
124 3 104
116 102 40
22 10 61
101 93 45
59 73 137
140 111 96
113 145 107
85 111 6
99 61 21
93 97 66
0 82 92
53 78 53
7 94 56
12 4 42
93 53 108
152 141 74
142 6 57
96 71 42
53 154 16
160 105 118
152 138 6
115 21 74
60 135 49
167 164 8
117 26 18
34 38 77
56 5 153
15 14 43
3 146 106
137 114 49
15 157 153
62 146 142
56 21 42
83 1 104
34 152 31
174 16 147
122 170 148
8 21 172
56 64 47
