57
-41 -14 88
-6 -62 -34
11 52 45
5 75 45
-80 36 39
-99 12 -35
29 -54 63
29 66 59
-26 76 -51
-99 -68 22
0 -94 50
59 -91 -51
-70 -35 83
87 -31 -81
-12 -74 -53
84 -78 -38
79 -91 21
-85 13 -76
-56 -78 -57
8 0 51
32 -56 -38
27 43 46
65 -17 -68
78 -16 31
30 3 49
-51 -52 33
16 -19 72
1 41 44
-47 -65 30
-55 47 -63
19 89 93
-75 -48 -88
16 55 -66
67 -53 -97
61 -12 -16
-39 -81 49
36 -1 1
-12 47 88
26 78 -93
30 -45 69
58 4 -20
-60 16 17
28 94 -36
-66 -99 -75
-67 28 -41
-97 7 19
96 -96 -84
83 -73 99
-47 -80 50
2 24 -79
-13 -37 28
-57 5 76
-38 56 80
45 73 97
0 -85 -65
-12 88 -26
-58 -41 -63
