95
20 -20 -24
73 -41 -58
-61 18 -33
-37 27 -85
-34 41 13
-50 -3 47
-77 9 -91
-15 78 56
74 65 -70
-58 53 29
27 46 -51
-61 52 64
74 80 86
-87 28 25
-59 -14 37
48 -65 85
77 -83 7
-14 -36 53
-37 -38 -83
9 -7 -25
23 -9 84
-10 97 15
62 -86 78
-58 -2 -49
64 -75 74
-38 -55 65
-7 -75 -22
-25 -24 -21
-61 -15 -71
-14 -42 -19
60 -39 99
-5 -5 48
-10 -57 28
34 18 44
-92 29 -98
58 76 -73
45 -40 -90
43 -91 -81
-16 83 -80
-47 74 38
29 -39 -13
19 -19 62
-2 46 -83
-15 -10 67
-88 63 72
-29 -84 -28
-71 10 -94
39 -75 38
49 -18 -66
72 -10 77
-19 -57 -22
87 -98 97
61 -30 -38
-72 -37 -80
-69 -12 -48
-19 -50 36
31 -38 -12
-78 42 -78
-40 30 71
3 -76 85
-84 25 -42
58 -60 -13
9 -75 -28
48 78 -98
69 -97 -17
-60 -60 56
61 -5 -64
9 59 -42
12 36 52
-4 -64 78
-74 -22 -51
11 -40 37
-54 -97 74
58 -28 -45
37 25 -94
-11 -92 -7
-3 68 -11
-32 -62 22
84 -19 91
6 91 -99
-81 22 97
-21 -33 -31
84 33 -77
-32 39 0
39 -13 -86
58 3 6
-9 -79 -42
92 18 -57
-32 -84 -29
-68 -42 -3
-79 -35 -52
-57 -15 -100
-20 -85 63
-85 -59 -95
40 59 -64
