19
1 1
1 1
2 2
1 2
1 1
1 1
3 1
1 1
2 2
1 1
4 3
5 3
1 6
3 4
1 1
2 1
1 2
1 4
4 4
3 5
1 5
1 1
2 1
6 6
1 1
2 1
2 2
2 3
2 3
2 3
1 6
4 8
9 9
9 1
11 5
1 8
3 7
1 1
2 2
3 1
4 2
4 4
6 4
6 3
1 1
2 1
3 3
3 3
1 4
6 1
2 7
3 3
9 4
10 6
2 4
4 3
9 5
1 1
2 2
1 2
4 2
5 5
2 2
3 1
4 1
6 1
9 7
6 7
3 4
13 2
4 3
10 13
3 10
1 10
10 15
2 4
1 1
2 2
1 2
1 3
2 11
1 1
2 2
2 2
3 1
6 5
1 1
2 2
2 3
4 4
5 2
3 4
2 7
6 4
2 1
3 8
9 1
6 3
1 6
1 1
2 1
2 10
1 1
1 2
1 3
1 1
7 5
1 1
1 1
1 3
1 3
2 3
3 2
6 4
8 4
4 6
8 4
2 6
10 6
10 5
12 2
10 10
1 1
2 1
2 2
3 1
5 3
2 4
7 3
3 5
4 9
8 9
10 4
10 11
12 9
11 12
14 13
14 4
4 5
4 3
12 9
19 5
5 1
1 1
2 1
2 3
1 3
2 2
6 6
3 6
6 7
4 6
8 7
16 17
1 1
2 1
2 2
2 1
5 5
4 3
4 4
5 3
2 2
3 7
4 11
7 4
12 4
12 10
10 7
4 14
16 17
9 12
3 2
5 2
12 6
21 13
13 17
16 6
14 1
6 24
10 5
16 3
24 13
4 22
24 17
21 1
1 11
1 1
1 1
